date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
06/09/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
05/09/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
04/09/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
30/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
28/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
27/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
26/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
23/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
21/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
16/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
15/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
14/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
09/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
08/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
07/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
06/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
05/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
02/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
01/08/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
31/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
30/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
24/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
23/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
18/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
15/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
11/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
10/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
08/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
04/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
03/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
02/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
01/07/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
28/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
27/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
26/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
25/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
24/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
21/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
18/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
11/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
07/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
06/06/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
31/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
30/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
28/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
27/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
23/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
21/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
17/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
10/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
09/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
08/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
07/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
06/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
03/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
02/05/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
26/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
23/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
11/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
05/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
03/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
01/04/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
28/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
27/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
25/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
18/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
05/03/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
26/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
21/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
16/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
15/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
07/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
06/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
02/02/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
31/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
30/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
17/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
16/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
15/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
11/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
10/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
09/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
02/01/2024,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
26/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
25/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
21/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
18/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
14/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
11/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
08/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
06/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
05/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
04/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
01/12/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
30/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
28/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
23/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
21/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
17/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
16/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
15/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
14/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
10/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
09/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
08/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
07/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
06/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
03/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
02/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
01/11/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
31/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
30/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
27/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
26/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
25/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
23/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
18/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
17/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
16/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
11/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
10/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
09/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
06/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
05/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
04/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
03/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
02/10/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
26/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
25/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
22/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
21/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
20/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
19/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
18/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
15/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
14/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
13/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
12/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
11/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
08/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
07/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
05/09/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
31/08/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
30/08/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
29/08/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
28/08/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
25/08/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
24/08/2023,0(0.00 %),0,0,0,0,0,0,"3,761,400",3.68%
