date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,9.91,--,-0.01(-0.10 %),"102,400",1.02,0,0.0,9.92,10.05,9.91,ads
11/09/2024,9.92,--,-0.18(-1.78 %),"220,400",2.19,0,0.0,10.0,10.0,9.9,ads
10/09/2024,10.1,--,0(0.00 %),"185,000",1.86,0,0.0,10.2,10.2,10.0,ads
09/09/2024,10.1,--,-0.15(-1.46 %),"124,700",1.26,0,0.0,10.1,10.25,10.05,ads
06/09/2024,10.25,--,-0.05(-0.49 %),"150,800",1.54,0,0.0,10.3,10.3,10.1,ads
05/09/2024,10.3,--,0.3(3.00 %),"240,800",2.45,0,0.0,10.0,10.3,10.0,ads
04/09/2024,10.0,--,-0.3(-2.91 %),"175,500",1.78,0,0.0,10.2,10.3,10.0,ads
30/08/2024,10.3,--,-0.05(-0.48 %),"90,900",0.94,0,0.0,10.35,10.45,10.3,ads
29/08/2024,10.35,--,-0.1(-0.96 %),"89,200",0.92,0,0.0,10.5,10.5,10.35,ads
28/08/2024,10.45,--,0(0.00 %),"169,000",1.77,0,0.0,10.45,10.6,10.4,ads
27/08/2024,10.45,--,0.4(3.98 %),"140,400",1.45,0,0.0,10.35,10.45,10.25,ads
26/08/2024,10.35,10.05,-0.05(-0.48 %),"144,100",1.51,0,0.0,10.4,10.55,10.35,ads
23/08/2024,10.4,10.1,-0.15(-1.42 %),"168,400",1.75,0,0.0,10.7,10.7,10.35,ads
22/08/2024,10.55,10.24,-0.05(-0.47 %),"229,700",2.42,0,0.0,10.7,10.75,10.45,ads
21/08/2024,10.6,10.29,-0.15(-1.40 %),"180,200",1.92,0,0.0,10.75,10.75,10.55,ads
20/08/2024,10.75,10.44,0(0.00 %),"119,400",1.28,0,0.0,10.8,10.85,10.6,ads
19/08/2024,10.75,10.44,-0.1(-0.92 %),"217,900",2.35,0,0.0,10.85,11.15,10.1,ads
16/08/2024,10.85,10.54,0.3(2.84 %),"268,700",2.89,0,0.0,10.55,10.9,10.4,ads
15/08/2024,10.55,10.24,-0.15(-1.40 %),"176,500",1.85,0,0.0,10.6,10.7,10.4,ads
14/08/2024,10.7,10.39,-0.2(-1.83 %),"165,700",1.79,0,0.0,11.0,11.1,10.6,ads
14/08/2024,10.7,10.39,-0.2(-1.83 %),"165,700",1.79,0,0.0,11.0,11.1,10.6,ads
13/08/2024,11.9,10.58,-0.05(-0.42 %),"335,100",3.97,0,0.0,12.05,12.05,11.75,ads
12/08/2024,11.95,10.63,0.25(2.14 %),"413,800",4.92,0,0.0,11.9,12.0,11.8,ads
09/08/2024,11.7,10.41,0.3(2.63 %),"125,300",1.45,0,0.0,11.8,11.8,11.5,ads
08/08/2024,11.4,10.14,0.5(4.59 %),"875,000",9.99,0,0.0,10.85,11.65,10.85,ads
07/08/2024,10.9,9.69,0.15(1.40 %),"170,400",1.85,0,0.0,10.85,11.0,10.75,ads
06/08/2024,10.75,9.56,0.2(1.90 %),"219,500",2.35,0,0.0,10.9,10.9,10.55,ads
05/08/2024,10.55,9.38,-0.4(-3.65 %),"498,100",5.36,0,0.0,11.0,11.2,10.55,ads
02/08/2024,10.95,9.74,0.2(1.86 %),"318,300",3.48,0,0.0,10.75,11.05,10.75,ads
01/08/2024,10.75,9.56,-0.45(-4.02 %),"505,200",5.53,0,0.0,11.35,11.35,10.7,ads
