date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,4.31(2.62 %),0,0,0,0,0,0,"-1,352",0%
11/09/2024,4.2(-1.18 %),0,0,0,0,0,0,"-1,352",0%
10/09/2024,4.25(0.71 %),0,0,0,0,0,0,"-1,352",0%
09/09/2024,4.22(-0.47 %),0,0,0,0,0,0,"-1,352",0%
06/09/2024,4.24(-1.17 %),0,0,0,0,0,0,"-1,352",0%
05/09/2024,4.29(0.47 %),0,0,0,0,0,0,"-1,352",0%
04/09/2024,4.27(-0.70 %),0,0,0,0,0,0,"-1,352",0%
30/08/2024,4.3(-1.83 %),0,0,0,0,0,0,"-1,352",0%
29/08/2024,4.38(-0.68 %),0,0,0,0,0,0,"-1,352",0%
28/08/2024,4.41(1.85 %),0,0,0,0,0,0,"-1,352",0%
27/08/2024,4.33(0.70 %),0,0,0,0,0,0,"-1,352",0%
26/08/2024,4.3(-1.15 %),0,0,0,0,0,0,"-1,352",0%
23/08/2024,4.35(-0.46 %),0,0,0,0,0,0,"-1,352",0%
22/08/2024,4.37(-0.46 %),0,0,0,0,0,0,"-1,352",0%
21/08/2024,4.39(0.92 %),0,0,0,0,0,0,"-1,352",0%
20/08/2024,4.35(-0.23 %),0,0,0,0,0,0,"-1,352",0%
19/08/2024,4.36(-1.58 %),0,0,0,0,0,0,"-1,352",0%
16/08/2024,4.43(3.26 %),0,0,0,0,0,0,"-1,352",0%
15/08/2024,4.29(1.18 %),0,0,0,0,0,0,"-1,352",0%
14/08/2024,4.24(-0.70 %),0,0,0,0,0,0,"-1,352",0%
13/08/2024,4.27(-0.70 %),0,0,0,0,0,0,"-1,352",0%
12/08/2024,4.3(0.00 %),0,0,0,0,0,0,"-1,352",0%
09/08/2024,4.3(0.47 %),0,0,0,0,0,0,"-1,352",0%
08/08/2024,4.28(0.23 %),0,0,0,0,0,0,"-1,352",0%
07/08/2024,4.27(0.00 %),0,0,0,0,0,0,"-1,352",0%
06/08/2024,4.27(0.47 %),0,0,0,0,0,0,"-1,352",0%
05/08/2024,4.25(-6.80 %),0,0,0,0,0,0,"-1,352",0%
02/08/2024,4.56(-0.44 %),0,0,0,0,0,0,"-1,352",0%
01/08/2024,4.58(-3.17 %),0,0,0,0,0,0,"-1,352",0%
31/07/2024,4.73(0.42 %),0,0,0,0,0,0,"-1,352",0%
30/07/2024,4.71(0.00 %),0,0,0,0,0,0,"-1,352",0%
29/07/2024,4.71(-2.28 %),0,0,0,0,0,0,"-1,352",0%
24/07/2024,4.82(-1.03 %),0,0,0,0,0,0,"-1,352",0%
23/07/2024,4.87(-0.61 %),0,0,0,0,0,0,"-1,352",0%
22/07/2024,4.9(-2.20 %),0,0,0,0,0,0,"-1,352",0%
19/07/2024,5.01(-1.18 %),0,0,0,0,0,0,"-1,352",0%
18/07/2024,5.07(0.80 %),0,0,0,0,0,0,"-1,352",0%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"-1,352",0%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"-1,352",0%
15/07/2024,5.16(0.00 %),0,0,0,0,0,0,"-1,352",0%
12/07/2024,5.16(-0.58 %),0,0,0,0,0,0,"-1,352",0%
11/07/2024,5.19(1.17 %),0,0,0,0,0,0,"-1,352",0%
10/07/2024,5.13(-0.39 %),0,0,0,0,0,0,"-1,352",0%
08/07/2024,5.13(-0.19 %),0,0,0,0,0,0,"-1,352",0%
04/07/2024,5.22(0.58 %),0,0,0,0,0,0,"-1,352",0%
03/07/2024,5.19(-0.19 %),0,0,0,0,0,0,0,0%
02/07/2024,5.2(0.39 %),0,0,0,0,0,0,"-1,352",0%
01/07/2024,5.18(1.17 %),0,0,0,0,0,0,"-1,352",0%
28/06/2024,5.12(-1.54 %),0,0,0,0,0,0,"-1,352",0%
27/06/2024,5.2(-0.38 %),0,0,0,0,0,0,"-1,352",0%
26/06/2024,5.22(-0.76 %),0,0,0,0,0,0,"-1,352",0%
25/06/2024,5.26(0.00 %),0,0,0,0,0,0,"-1,352",0%
24/06/2024,5.26(-0.57 %),0,0,0,0,0,0,"-1,352",0%
21/06/2024,5.29(0.95 %),0,0,0,0,0,0,"-1,352",0%
20/06/2024,5.24(-1.13 %),0,0,0,0,0,0,"-1,352",0%
19/06/2024,5.3(-0.56 %),0,0,0,0,0,0,"-1,352",0%
18/06/2024,5.33(0.19 %),0,0,0,0,0,0,"-1,352",0%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"-1,352",0%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"-1,352",0%
13/06/2024,5.44(-0.73 %),0,0,0,0,0,0,"-1,352",0%
12/06/2024,5.48(0.00 %),0,0,0,0,0,0,"-1,352",0%
11/06/2024,5.48(-0.36 %),0,0,0,0,0,0,0,0%
10/06/2024,5.5(-1.26 %),0,0,0,0,0,0,0,37.69%
07/06/2024,5.57(1.27 %),0,0,0,0,0,0,"-1,352",0%
06/06/2024,5.5(2.61 %),0,0,0,0,0,0,"-1,352",0%
05/06/2024,5.36(-0.19 %),0,0,0,0,0,0,0,37.69%
04/06/2024,5.37(0.19 %),0,0,0,0,0,0,0,37.69%
03/06/2024,5.36(0.75 %),0,0,0,0,0,0,0,37.69%
31/05/2024,5.32(-0.93 %),0,0,0,0,0,0,"-1,352",0%
30/05/2024,5.37(-0.92 %),0,0,0,0,0,0,"-1,352",0%
29/05/2024,5.42(2.65 %),0,0,0,0,0,0,"-1,352",0%
28/05/2024,5.28(0.38 %),0,0,0,0,0,0,"-1,352",0%
27/05/2024,5.26(0.00 %),0,0,0,0,0,0,"-1,352",0%
24/05/2024,5.26(-2.41 %),0,0,0,0,0,0,0,37.69%
23/05/2024,5.39(0.00 %),0,0,0,0,0,0,"-1,352",0%
22/05/2024,5.39(0.19 %),0,0,0,0,0,0,"-1,352",0%
21/05/2024,5.38(0.19 %),0,0,0,0,0,0,"-1,352",0%
20/05/2024,5.37(1.51 %),0,0,0,0,0,0,"-1,352",0%
17/05/2024,5.29(-0.75 %),0,0,0,0,0,0,"-1,352",0%
16/05/2024,5.33(0.57 %),0,0,0,0,0,0,0,37.69%
15/05/2024,5.3(-0.93 %),0,0,0,0,0,0,0,37.69%
14/05/2024,5.35(-0.74 %),0,0,0,0,0,0,0,37.69%
13/05/2024,5.39(1.51 %),0,0,0,0,0,0,"-1,352",0%
10/05/2024,5.31(2.91 %),0,0,0,0,0,0,"-1,352",0%
09/05/2024,5.16(-0.39 %),0,0,0,0,0,0,"-1,352",0%
08/05/2024,5.18(0.00 %),0,0,0,0,0,0,"-1,352",0%
07/05/2024,5.18(0.19 %),0,0,0,0,0,0,"-1,352",0%
06/05/2024,5.17(1.57 %),0,0,0,0,0,0,"-1,352",0%
03/05/2024,5.09(0.20 %),0,0,0,0,0,0,"-1,352",0%
02/05/2024,5.08(0.79 %),0,0,0,0,0,0,"-1,352",0%
26/04/2024,5.04(0.00 %),0,0,0,0,0,0,"-1,352",0%
25/04/2024,5.04(-0.98 %),0,0,0,0,0,0,0,37.69%
24/04/2024,5.09(2.62 %),0,0,0,0,0,0,0,37.69%
23/04/2024,4.96(-1.78 %),0,0,0,0,0,0,"-1,352",0%
22/04/2024,5.05(2.02 %),0,0,0,0,0,0,"-1,352",0%
19/04/2024,4.95(-3.32 %),0,0,0,0,0,0,0,37.69%
17/04/2024,5.12(-0.19 %),0,0,0,0,0,0,0,37.69%
16/04/2024,5.13(-3.57 %),0,0,0,0,0,0,0,37.69%
15/04/2024,5.32(-6.01 %),0,0,0,0,0,0,0,37.69%
12/04/2024,5.66(-1.57 %),0,0,0,0,0,0,"-1,352",0%
11/04/2024,5.75(5.12 %),0,0,0,0,0,0,"-1,352",0%
10/04/2024,5.47(0.92 %),0,0,0,0,0,0,0,37.69%
09/04/2024,5.42(-2.52 %),0,0,0,0,0,0,0,37.69%
08/04/2024,5.56(-1.77 %),0,0,0,0,0,0,0,37.69%
05/04/2024,5.66(-1.22 %),0,0,0,0,0,0,"-1,352",0%
04/04/2024,5.73(-1.21 %),0,0,0,0,0,0,0,37.69%
03/04/2024,5.8(2.65 %),0,0,0,0,0,0,"-1,352",0%
02/04/2024,5.65(-0.35 %),0,0,0,0,0,0,0,37.69%
01/04/2024,5.67(-0.53 %),0,0,0,0,0,0,"-1,352",0%
29/03/2024,5.7(-0.18 %),0,0,0,0,0,0,"-1,352",0%
28/03/2024,5.71(-0.52 %),0,0,0,0,0,0,"-1,352",0%
27/03/2024,5.74(0.53 %),0,0,0,0,0,0,"-1,352",0%
26/03/2024,5.71(-0.17 %),0,0,0,0,0,0,0,37.69%
25/03/2024,5.72(-0.35 %),0,0,0,0,0,0,"-1,352",0%
22/03/2024,5.74(-0.35 %),0,0,0,0,0,0,0,37.69%
21/03/2024,5.76(0.35 %),0,0,0,0,0,0,0,37.69%
